Nom,Adresse,Code postal,Ville,Latitude,Longitude,EMail (pour annuaire),Téléphone professionnel (pour annuaire),Url,Page facebook  (pour annuaire),Domaine d'activité Principal (une seule activité)  (pour annuaire),Description de l'activité de l'entreprise (pour annuaire),Défi (pour annuaire),Bureau de change,
Déménager seul / Loc & Manut,19 Rue des Frères Lumière,67201,ECKBOLSHEIM,48.589095,7.67922,strasbourg@demenagerseul.com,03 88 23 28 82,www.demenagerseul.com/agences-demenagement/Strasbourg-Eckbolsheim/68/Alsace/67201/Bas-Rhin,https://www.facebook.com/demenagerseul.strasbourg/?fref=ts,18,Location de véhicules utilitaires et camions de déménagement.,Mettre en ?uvre la rénovation de véhicules d'occasion pour la location de camions de déménagement ,,
Métal-Archi ARCHITECTURE,6 rue Sébastien Brant,67880,INNENHEIM,48.4982530,7.575166099999934,metalarchi.info@gmx.com,03 88 87 29 78,,https://www.facebook.com/chris.metal.archi/?fref=ts,18,Architecte : formulaires et plans pour permis.,Tester l'utilisation de linux pour des logiciels de conception assistée par ordinateur et communiquer sur son expérimentation ,,
Herrmann- à Hanaufruits,rue de Riedheim,67330,BOUXWILLER,48.820832	,7.483274,contact@fruits-herrmann.fr,03 88 70 57 10,www.fruits-herrmann.fr,https://www.facebook.com/La-ferme-Herrmann-Les-jardins-gourmands-418640164982157/?fref=ts,1,"Fruits et l&eacute;gumes issus de l&#39;agriculture biologique, locale et raisonnable !",Explorer les solutions pour améliorer le traitement des déchets bois et carton.,,
KWE MIKAN,24 rue de lunéville,67100,Neudorf,48.570507,7.753099,contact@kwemikan.com,09 54 37 39 81,www.kwemikan.com,,5,"Accompagnement de vie, soins et stages pour retrouver l'harmonie","Réduire son impact environnemental en cultivant ses plantes de soin soi-même, et en réalisant ses déplacements professionnels à vélo ",,
Pôterie : Ferreira Céline,4 rue St Pierre et Paul,67560,ROSHEIM,48.496666,7.470528999999943,celine.ferreira67@gmail.com,06 74 97 79 45,,,3,"Créations céramiques, cours de modelage et de poterie; travail de développement de la créativité.",Se dégager du temps pour faire du bénévolat.,,
Restaurant Acérola,8 rue du renard prêchant,67000,STRASBOURG,48.579581,7.757256,,03 88 24 04 01,restaurant-acerola.com/,https://www.facebook.com/restaurant.acerola/?fref=ts,16,Un restaurant &nbsp;de sp&eacute;cialit&eacute;s br&eacute;siliennes &agrave; la Krutenau &agrave; l&#39;atmosph&egrave;re chaleureuse.,"Augmenter la part de produits locaux dans les ingrédients utilisés au restaurant, notamment la viande bovine. ",,
Espace culturel des bâteliers,67 cours fernand jaeger,67200,Strasbourg,48.580902,7.754791,espace-des-bateliers@orange.fr,0388370594,www.lesbateliers.com/,https://www.facebook.com/espace.bateliers?fref=ts,4,Centre cr&eacute;atif et artistique proposant des activit&eacute;s pour tous les &acirc;ges.,Réduire la quantité d'ordures ménagères,,
Dr. Isabelle Hofmann,19A rue du général De Gaulle,67450,MUNDOLSHEIM,48.64259,7.709182,,03 88 69 61 53,,,17,Médecin homéopathe uniciste,Proposer une initiation aux logiciels libres aux professionnels du réseau intéressés,,
Tibet bleu,26 Grand rue,67000,STRASBOURG,48.582521,7.740183,etibetbleu@yahoo.fr,03 88 22 49 66,,https://www.facebook.com/Tibet-Bleu-585381538178462/?fref=ts,21,"Bijoux ethniques, artisanat et spiritualité tibétaines, pierres et minéraux.",Organiser une exposition sur le thème des minorités ethniques en Chine,,
Codiak Diagnostics,75 grand rue,67000,STRASBOURG,48.581775,7.743364,vkrauth@gmail.com,0607100987,,,18,R&eacute;alisation de diagnostics &eacute;nerg&eacute;tiques.,Essayer de convaincre d?autre diagnostiqueurs de rentrer dans le réseau du stück,,
Kohler Sandra,,67600,SELESTAT,48.2605927,7.4489840999999615,contact@plumederenart.fr,+33(0)6 47 81 79 04,,,5,Praticienne en art thérapie psychocorporelle et toucher massage harmonisant,Choisir un fournisseur d?électricité verte,,
Crédit Municipal de Strasbourg,6 Rue d'Ingwiller,67000,STRASBOURG,48.5881018,7.742643300000054,info@credit-municipal-strasbourg.fr ,03 88 32 04 21,www.credit-municipal-strasbourg.fr/,https://www.facebook.com/CreditMunicipalStrasbourg,18,"Banque sociale, prêt sur gage, conseil pour le microcrédit ou l?épargne solidaire. Le Crédit Municipal de Strasbourg assure une mission de service public, avec une vocation de banque sociale, qui ?uvre dans la lutte contre l?exclusion bancaire.",,1,
Gîte Cerise & Coquelicot,9 rue de l'église,67680,EPFIG,48.35940,7.464243,contact@cerisecoquelicot.com,+33(0)6 31 74 17 42,www.cerisecoquelicot.com/,cerise.coquelicot.1,10,Meublé de tourisme pour 2 personnes au centre du village,,,
Le Magasin de la Ferme Haag,1 rue Principale,67140,ST PIERRE,48.380634,7.470030,contact@fermehaag.com,+33(0)3 88 08 83 84,fermehaag.com,,1,"Fromages fermiers, Crèmerie, Charcuterie, Epicerie. Magasin de la ferme Haag et autres produits fermiers",J?utilise les services d?une ou plusieurs structures de l?ESS,,
Aux Pains de la Vigne (siège),101 route de Colmar,67130,BELMONT,48.249626,7.437813,,03 88 57 10 15,,https://www.facebook.com/auxpainsdelavigne/,2,"Boulangerie, sandwicherie, viennoiseries, pâtisseries","Développer commerce local, acheter maximum de produits à Selestat",,
Bernadette Couture,105a rue étroite,67150,NORDHOUSE,48.447744,7.672638,,06 60 42 54 47,www.bernadette-couture-67.com/,https://www.facebook.com/Hertrich-Bernadette-1782494575312193/timeline,8,Couturi&egrave;re : retouches ou de confection de v&ecirc;tements,Travailler avec des professionnels du réseau stück (création d?un groupe habillement),,
My Sweet's,8 rue de l'angle,67210,OBERNAI,48.463104,7.476484,contact@mysweets.fr,+33(0)6 95 60 28 24,mysweets.fr,My Sweet?s traiteur,16,"P&acirc;tisserie &amp; Traiteur sur commande, Cuisine &agrave; domicile\nPour tout &eacute;v&eacute;nement priv&eacute; et professionnel\nProduits de saison, faits maison et essentiellement bio et locaux",objectif zéro déchets,,
Touch à Fleur par Cathy Ehrhart,112 rue du général gouraud,67210,OBERNAI,48.46247940000001,7.480300800000009,ehrhart@touchafleurs.fr,0388955817,www.touchafleurs.fr/,https://www.facebook.com/touchafleurs/?fref=ts,3,"Artisan fleuriste, fleurissez-vous avec élégance.",Convaincre plusieurs professionnels du réseau BNI de rejoindre le Stück.,,
Caico studio graphique,17 rue du général de Gaulle,67203,OBERSCHAEFFOLSHEIM,48.58667339999999,7.6537600999999995,contact@caico.fr,,www.caico.fr/,,20,Création de vos supports de communication,Proposer ses compétences en graphisme pour le Stück : une affiche à accrocher dans les commerces du réseau Stück,,
Valérie Joubert - Cabinet de psychologie et psychothérapie,4 rue de la 1ère armée,67000,STRASBOURG,48.578164,7.749246,cabvvbsjoubert@yahoo.fr,03 88 13 49 41,www.psycho-ressources.com/valerie-joubert.html,https://www.facebook.com/PsychoPourTous.V.Joubert/,17,Psychothérapie psychocorporelle,Contacter Enercoop pour se fournir en électricité d'origine renouvelable,,
Les Petits Bocaux,126 rue du Général Gouraud,67210,OBERNAI,48.462196,7.479598,lespetitsbocaux@gmail.com,+33(0)9 86 75 55 00,,facebook.com/lespetitsbocaux,2,"Epicerie Vrac Bio et Zéro déchet (alimentaire, beauté, entretien)",mise en place de compostage,1,
Edite Fernandes Illustration - Graphisme,25 rue du Vieux marché aux vins,67000,Strasbourg,48.584037,7.741852,edite.fernandes@wanadoo.fr,+33(0)6 25 55 85 86,editefernandes.ultra-book.com,,20,Illustration et graphisme,réduction consommation d?énergie lié au numérique,,
kiné Laurence MISSLIN,3 rue Saint Aloïse,67100,STRASBOURG,48.564998,7.760901,,0981910517,,,17,Masseur - kin&eacute;sith&eacute;rapeute et th&eacute;rapie manuelle chinoise.,Remplacer l'usage de papier jetable (table de massage) en proposant aux patients d'apporter leur propre serviette lavable.,,
OZ événements,3 quai Kléber,67000,Strasbourg,48.5865125,7.741846799999962,contact@oz-evenements.fr,07 82 67 99 66,www.oz-evenements.fr/,https://www.facebook.com/ozevenement,18,Conseil et organisation d&#39;&eacute;v&eacute;nements pour particuliers et entreprises.,Recherche et faisabilité : aller vers de nouveaux partenaires financiers éthiques >> investissement socialement responsable,,
Boulangerie Dolder,19 Rue Jean Macé,67100,STRASBOURG,48.556276,7.749594,dolder@neuf.fr,03 88 39 24 04,,https://www.facebook.com/boulangeriedolder/?fref=ts,2,"Boulangerie, pains bio.",Organiser 2 matinées de présentation du Stück à la boulangerie,,
Epicerie OH !,7 rue de la brigade Alsace-Lorraine,67000,STRASBOURG,48.577044,7.753814,contact@epicerie-oh.com,0388222423,https://epicerie-oh.com/,https://www.facebook.com/epicerieoh/?fref=ts,2,Epicerie g&eacute;n&eacute;rale de qualit&eacute;.,Proposer des paniers gourmands stück (avec des produits du réseau,,
Christine Stien sophro-relaxation,15 rue Rotland,67140,BARR,48.404438,7.447449,chris@sophro-relaxation-67.fr,06 81 25 79 64,www.sophro-relaxation-67.fr/,https://www.facebook.com/Sophro-relaxation-67-1537110019845566/,17,Massages bien-être et sophrologie,Faire adhérer au réseau d'autres professionnels sur Barr,,
Hem et vous,6 rue Sainte Madeleine,67000,STRASBOURG,48.580321,7.753347,channatra.hem@gmail.com,03 88 24 52 45,hemetvous.com/,https://www.facebook.com/hemetvous/?fref=ts,5,Salon de coiffure pour petits et grands,"Proposer des masques et mélanges à base d?huiles essentielles maison, trouver les huiles essentielles au niveau local ",,
Assistinfo,17 rue de Rosheim,67000,STRASBOURG,48.580649,7.733727,contact@assistinfo.fr,03 67 10 46 21,https://www.assistinfo.fr/,,12,"D&eacute;pannage, assistance, conseil et formation informatique &agrave; domicile","Promotion, utilisation et formation à l'utilisation de logiciels libres",,
Café Crème,64 rue de la République,67720,HOERDT,48.6962401,7.7838321000000406,info@cafecreme-hoerdt.fr,,cafecreme-hoerdt.fr,https://www.facebook.com/cafecremehoerdt/,16,"Un lieu etonnant et convivial, en plein centre de Hoerdt !",Devenir bureau de change à Hoerdt,,
Elise Rayé,202 avenue de Colmar,67100,STRASBOURG,48.557578,7.747958,,06 18 67 54 57,,https://www.facebook.com/osteopathie.EliseRaye.67/,17,Osth&eacute;opathe : techniques douces.,Mettre en place le tri des déchets,,
Le maître du thé,52 rue Schott,67000,STRASBOURG,48.603307,7.778055,lemaitreduthe@gmail.com,06 51 09 00 53,https://www.lemaitreduthe.com/,https://www.facebook.com/Le-Ma%C3%AEtre-du-th%C3%A9-122588901242822/,2,Entreprise strasbourgeoise crée en 2013 proposant des thés de qualités originaux.,Mise en place de la vente en vrac ,,
Dulcis Melodia,4 rue du château,67310,SCHARRACHBERGHEIM IRMSTETT,48.637869,7.438214,,03 88 87 13 30,www.dulcismelodia.com,https://www.facebook.com/ensembledulcismelodia,6,"Musiciens professionnels, musique ancienne, et italienne du XVIIe siècle",Stage d?été à Wasselonne  produire localement et de façon écologique l?ensemble des légumes utilisés pour repas pour les 30 stagiaires lors des journées de la musique ancienne juillet,,
Dominique Vonthron,5 rue des mineurs,67000,Strasbourg,48.587818,7.744494,dominiquevonthron@gmail.com,03 88 23 59 89,,,17,Th&eacute;rapie corporelle\nM&eacute;thodes Padovan et M&eacute;zi&egrave;res.,Participer à une formation bénévole du Stück pour améliorer son argumentaire et être une ambassadrice du Stück,,
Anastasia Cusin - Psychologue clinicienne,25 avenue du Général de Gaulle,67000,STRASBOURG,48.578166,7.769576,anastasia.cusin@gmail.com,06 71 05 63 82,https://www.pagesjaunes.fr/pros/56709121,,17,Psychologue clinicienne,Réaliser trois adhésions de professionnels à Strasbourg,,
Boulangerie Dolder dépôt de pains,95 avenue de Colmar,67100,STRASBOURG,48.567248,7.752056,dolder@neuf.fr,03 88 34 76 40,,https://www.facebook.com/boulangeriedolder/?fref=ts,2,D&eacute;p&ocirc;t de pains.,Organiser 2 matinées de présentation du Stück à la boulangerie,,
L'Ere Végane,20/22 rue de l'Elbe,67100,STRASBOURG,48.573124,7.767694,lerevegane@gmail.com,03 90 67 80 92,,https://www.facebook.com/lLEreVegane/,2,"Boutique 100% végane, épicerie, petite restauration, cosmétique et ateliers.",Accueillir un apéro usagers et organiser un de ses ateliers mensuels autour du Stück.,1,
L'Atelier d'Astrid ZM - Créer au Fil de Soi,8 rue des Champs,67190,MUTZIG,48.534244,7.463450,astridmzig@gmail.com,07 70 71 82 03,atelierastridzm.canalblog.com/,https://www.facebook.com/LAtelier-dAstrid-ZM-Cr%C3%A9er-au-Fil-de-Soi-1463028057296369/?ref=page_internal,3,Cr&eacute;ation textile et animation d&#39;ateliers textiles dans un esprit &eacute;thique et solidaire.,Créer un site internet avec un hébergement neutre en carbone,,
Made in Franz,11 rue Boistel,67115,PLOBSHEIM,48.4719452,7.726274999999987,contact@madeinfranz.fr,0388255159,madeinfranz.fr,https://www.facebook.com/MadeInFranz/,16,"Bistrot et Biergarten locavore à Plobsheim. Franz et son équipe vous propose petits plates et bières artisanales dénichés dans les fermes des environs. Au fil des saisons animations culinaires et culturelles, sensibilisation aux circuits courts.",Mettre en place un garage à vélo équipé d'un système de recharge de batterie électrique pour les clients cyclistes. Afficher une carte descriptive des produits locaux utilisés par Franz,,
Association Juste à Côté,33 avenue de la Gare,67150,ERSTEIN,48.4205074329474,7.6483941078186,justeacote67@gmail.com,06 25 68 19 68,justeacote.e-monsite.com/,https://www.facebook.com/Juste-%C3%A0-c%C3%B4t%C3%A9-640364475980801/,2,Epicerie du lycée Agricole d'Erstein,Expliquer la démarche Stück aux élèves du bac pro vente du lycée agricole d?Erstein (45 élèves),1,
K'Fet des Sciences (Amicale des Sciences),Allee Gaspard Monge,67000,STRASBOURG,48.580309,7.765764,asso@amicale-sciences.fr,03 88 85 11 73,www.amicale-sciences.fr,https://www.facebook.com/Kfet-des-Sciences-ADS-162565203772590/?ref=page_internal,16,"Petite restauration, ventes de boissons à tarification solidaire",,,
Local - Reprographie de l'Amicale des Sciences,4 Rue Blaise Pascal,67100,STRASBOURG,48.579814,7.766837,asso@amicale-sciences.fr,03 88 61 39 49,asso@amicale-sciences.fr,https://www.facebook.com/amicaledessciences.strasbourg/?fref=ts,14,"Service de reprographie, papeterie, tarification solidaire",Organiser une conférence Stück lors de la semaine de pré-rentrée 2017/2018,1,
Pascal Léval - Naturopathe,13 rue des Tourbières,67500,HAGUENAU,48.804642,7.776910,,03 88 72 18 20,www.pascal-leval.fr,,5,"Naturopathie, Bioélectronique de Vincent, Bol d'air Jacquier", Aider le Stück à s'implanter dans le Nord de l'Alsace,,
Ordidocaz,7 rue du Héron,67300,SCHILTIGHEIM,48.619856,7.770191,info@ordidocaz.com,03 88 26 26 26,www.ordidocaz.com/,https://fr-fr.facebook.com/ordi.docaz,12,"Reprise ou vente de pc occasion remis à neuf, cours initiation sur les logiciel bureautique.",Contribuer à réduire la fracture numérique,1,
Boîte Aux Clics - photographe,6 rue des Pinsons,67610,LA WANTZENAU,48.610519,7.784518,contact@boiteauxclics.com,06 20 27 93 89,www.boiteauxclics.com/,https://www.facebook.com/Photographe-Alsace-St%C3%A9phanie-Soum-Bo%C3%AEte-Aux-Clics-100884596621770/,3,"Photographe pour particuliers, associations, entreprises",Réaliser de nouvelles photos des billets de stück (pour les visuels de l?association),,
Ecrin De Sucre - Pâtisserie Boulangerie,18 rue du 22 Novembre,67270,WILWISHEIM,48.748838,7.514338,lepaindesucre0019@orange.fr,03 88 91 99 09,,https://www.facebook.com/boulangeriepatisseriewilwisheim/,2,"Boulangerie pâtisserie : pains au levain naturel, sans additifs ni conservateurs. En pâtisserie : respect des saisons et des matières premières.",Rendre la pâtisserie boulangerie autonome en énergie.,,
Restaurant La Choucrouterie,20 rue St Louis,67000,STRASBOURG,48.577984,7.745278,restaurant@choucrouterie.com,03 88 36 52 87,restaurantdelachouc.com/,https://www.facebook.com/RESTAURANT-LA-CHOUCROUTERIE-307334330046/,16,"Cadre chaleureux, ambiance conviviale, bons petits plats aux saveurs d'antan",Communiquer sur les produits,,
Bar à Popol Stuebel,25 rue du fossé des tanneurs,67000,STRASBOURG,48.583112,7.743986,barapopol@gmail.com,03 88 32 87 90,barapopol.com/,https://www.facebook.com/Bar-%C3%A0-Popol-Stuebel-1167240506659853/,16,"Bar à produits authentiques et artisanaux, issus des producteurs alsaciens. Bières de micro-brasserie en centre-ville de Strasbourg.","Réduire ses consommations d?énergie (chauffage, transports, informatique, processus de fabrication)",,
Fanny Carnec - masseuse,9 place de l'Ile de France,67100,STRASBOURG,48.550075,7.749728,fanny.carnec@hotmail.fr,07 70 40 40 50,,,5,"Massages ayurvédiques et intuitifs, magnétisme et cours de Kundalini Yoga",Echanger ses serviettes plastifiées contre des serviettes recyclables pour sa table de massage.,,
L'Espace K,7 rue du Tabac,67100,STRASBOURG,48.576593,7.729401,info@espace-k.com,03 88 22 22 03,www.espace-k.com,https://www.facebook.com/pages/Le-Kafteur/247162785406695,6,"Création de spectacles, de formation et stages de théâtre.","Faire adhérer au réseau la brasserie Matten, parler du stück dans un spectacle ou une vaseuse, et organiser l'AG du stück à l'Espace K.",,
La Maison aux Pains,56 avenue de la forêt noire,67000,STRASBOURG,48.583736,7.770855,loicgiraudeau@hotmail.com,03 88 39 96 45,,https://www.facebook.com/lamaisonauxpains/,2,Boulangerie bio à base de  variétés de blés anciens et sandwicherie,Faire un stand stück pendant un jour de marché de la marne et un lors de la rentrée universitaire,1,
La Bonumeur,"L'Effet-Mer, plan d'eau Huttenheim",67230,HUTTENHEIM,48.345548,7.580815,,,,https://www.facebook.com/standlabonumeur/,16,"Vente de crêpes, churros et glaces sur différentes animations en Alsace-Lorraine ; ainsi qu'au plan d'eau de Huttenheim. (l'Effet-Mer)\nEgalement présent au Street Food Festival à Strasbourg le 8/07/2017.",Travailler avec un nouveau prestataire dans le réseau du Stück,,
La Raison du Raisin,13 place du Vieux Port,67600,Selestat,48.257135,7.454764,philippcatt@free.fr,09 80 88 37 00,www.laraisonduraison.com,https://www.facebook.com/laraisonduraisin/,21,"Caviste de proximité proposant vins naturels, bières artisanales et spiritueux d'exception",organiser un événement avec les autres adhérents pour promouvoir le stück à sélestat,,
Association Homéo'Liz,94 Vieux Chemin de Bergheim,67600,SELESTAT,48.245672,7.426011,homeoliz@yahoo.com,,,,17,Association a but non lucratif ayant pour objectif de promouvoir l'Homéopathie uniciste. Homéo'liz organise également des consultations d'Homéopathie faites par un médecin généraliste homéopathe uniciste. ,promouvoir le Stück en favorisant son usage auprès des usagers de l'association.,,
Laure Zahnd - Kinésithérapeute,2 rue Sainte Hélène,67000,STRASBOURG,48.604431,7.779639,zahndlaure@gmail.com,0388614672,,,17,"Kinésithérapie manuelle, balnéothérapie, drainage lymphatique, rééducation périnéale",,,
Lucigaïah,108 rue du Général Gouraud,67210,OBERNAI,48.462980,7.482115,walsser.carole@gmail.com,06 07 38 02 19,https://lucigaiah.jimdo.com/,https://www.facebook.com/lucigaiah/,2,"Ateliers et cours de cuisine végétalienne, coaching pour transition alimentaire",Je m'engage à parler du Stück aux participants de mes ateliers et je réduis mes déchets en utilisant un compost.,,
Coffee Stub,12 quai des pêcheurs,67000,STRASBOURG,48.583180,7.758203,coffeestub@gmail.com,03 88 16 08 62,,https://www.facebook.com/coffeestub/,16,"Café travaillant en circuit court, torréfaction, légumes, fruits, boissons fraiches.",Le Coffee Stub s'engage à se rapprocher de moulins locaux afin de s'approvisionner en farine.,,
Vélicious Burger,20 Grand'Rue,67000,STRASBOURG,48.582451,7.739789,contact@velicious.fr,09 72 62 60 76,,https://www.facebook.com/pg/veliciousburger/,16,"Restaurant fast good végan proposant des burgers faits maison, bio et locaux.",,,
Carton Charlène,132 rue de Rossfeld,67230,HERBSHEIM,48.346533,7.630294,charlene.carton@free.fr,07 70 73 18 78,,,2,"Sur les marchés et en ambulant, produits locaux de qualité en bio ou en raisonné",Travailler avec des fournisseurs acceptant les stücks.,,
Aux pains de la Vigne (Rte Colmar),10 rue de Colmar,67600,SELESTAT,48.266853,7.454233,,09 81 06 33 96,,https://www.facebook.com/auxpainsdelavigne,2,"Pains bio, faible en gluten, sandwichs végériens/végans",,,
Aux pains de la Vigne (Rte Colmar),101 route de Colmar,67600,SELESTAT,48.266853,7.454233,,,,https://www.facebook.com/auxpainsdelavigne,2,"Pains bio, faible en gluten, sandwichs végériens/végans",,,
Correction Auditive HERT (siège),3 rue du faubourg National,67000,STRASBOURG,48.582672,7.737666,audrey.audition.hert@orange.fr,03 88 22 10 37,www.correction-auditive-hert.fr,@correctionauditivehert,17,"Spécialiste des corrections de l'audition. Adaptation, contrôle et suivi d'aide auditive sur prescription médicale","Apporter un soutien financier à l?association Haies Vives d?Alsace. Concrètement, il s?agit de convertir notre récolte de piles usagées en récoltes de graines réalisées par des personnes handicapées mentales de l?AFAEDAM",,
Correction Auditive HERT Strasbourg,3 rue du faubourg National,67000,STRASBOURG,48.582672,7.737666,audrey.audition.hert@orange.fr,03 88 22 10 37,www.correction-auditive-hert.fr,@correctionauditivehert,17,"Spécialiste des corrections de l'audition. Adaptation, contrôle et suivi d'aide auditive sur prescription médicale","Apporter un soutien financier à l?association Haies Vives d?Alsace. Concrètement, il s?agit de convertir notre récolte de piles usagées en récoltes de graines réalisées par des personnes handicapées mentales de l?AFAEDAM",,
Correction Auditive HERT Haguenau,7 rue du puits,67500,HAGUENAU,48.817273,7.790308,audrey.audition.hert@orange.fr,03 88 22 10 37,www.correction-auditive-hert.fr,@correctionauditivehert,17,"Spécialiste des corrections de l'audition. Adaptation, contrôle et suivi d'aide auditive sur prescription médicale","Apporter un soutien financier à l?association Haies Vives d?Alsace. Concrètement, il s?agit de convertir notre récolte de piles usagées en récoltes de graines réalisées par des personnes handicapées mentales de l?AFAEDAM",,
Correction Auditive HERT Illkirch,2A rue de l'industrie,67400,ILLKIRCH GRAFFENSTADEN,48.537782,7.732862,audrey.audition.hert@orange.fr,03 88 22 10 37,www.correction-auditive-hert.fr,@correctionauditivehert,17,"Spécialiste des corrections de l'audition. Adaptation, contrôle et suivi d'aide auditive sur prescription médicale","Apporter un soutien financier à l?association Haies Vives d?Alsace. Concrètement, il s?agit de convertir notre récolte de piles usagées en récoltes de graines réalisées par des personnes handicapées mentales de l?AFAEDAM",,
Correction Auditive HERT Wissembourg,2B rue du tribunal,67160,WISSEMBOURG,49.034458 ,7.945540,audrey.audition.hert@orange.fr,03 88 22 10 37,www.correction-auditive-hert.fr,@correctionauditivehert,17,"Spécialiste des corrections de l'audition. Adaptation, contrôle et suivi d'aide auditive sur prescription médicale","Apporter un soutien financier à l?association Haies Vives d?Alsace. Concrètement, il s?agit de convertir notre récolte de piles usagées en récoltes de graines réalisées par des personnes handicapées mentales de l?AFAEDAM",,
EcoCitoyens d'Erstein,8 rue du merle,67150,SCHAEFFERSHEIM,48.427564,7.620790,ecocitoyens.erstein@free.fr,03 88 98 02 38,ecocitoyens-erstein.blogspot.fr/,ecocitoyenserstein,4,"Association se sensibilisation aux enjeux environnementaux, sociaux et économiques. (penser global) créée en octobre 2008 par un groupe de citoyens du pays d'Erstein proposant à différents publics des rencontres et évènements sur le territoire de la communauté de communes du canton d'Erstein. Affilié au mouvement de transition de Rob Hopkins.",Faire adhérer au moins 3 commerçants d'Erstein sur le premier trimestre 2018,,
Wild Wedding Alsace,166 rue principale,67350,ETTENDORF,48.815312,7.589856,caroline@wildfestival.fr,06 37 61 44 54,www.wildweddingalsace.com,wildweddingalsace,4,"Annuaire, blog et inspirations pour un mariage alternatif et responsable.  \nOrganisation du festival du mariage Wild Festival éco-responsable ","Obtenir le niveau 3 (le plus élevé) de la charte d'engagement ""manifestations éco-responsables"" d'Eco-Manifestations Alsace",,
Gillet Matthieu Ethiopathe,"14, rue d'Obernai",67000,STRASBOURG,48.579405,7.732210,,,,www.facebook.com/matthieugillet.étiopathe/,17,Etiopathie : thérapie manuelle recherchant les causes et pas seulement les symptômes. ,Créer une bibliothèque partagée pour mieux se connaître et comprendre le fonctionnement de l'organisme,,
Pois de Couture,181 rue du général de Gaulle,67190,DINSHEIM SUR BRUCHE,48.540944,7.410903,poisdecouture@lilo.org,06 87 02 58 36,www.poisdecouture.fr,pois de couture,3,"Accessoires textiles écoresponsables : sacs, trousses, étuis, noeuds papillon, etc",tri des déchets au sein d'une pépinière d'entreprises. Améliorer ce tri,,
Stadt-Apotheke Kehl,Hauptstr. 75,77694,Kehl,48.5726727,7.812622099999999,info@stadt-apotheke-kehl.de,+49 (0)7851 - 2455,https://www.stadtapotheke-kehl.de/,https://www.facebook.com/stadtapo,17,Votre pharmacie à Kehl et le premier professionnel du stück outre-Rhin !,,,
Biocoop Coquelicot,6 rue de la première armée,67000,STRASBOURG,48.5780773,7.749952300000018,biocoop@coquelicot.bio,0367311311,https://www.facebook.com/coquelicot.bio,https://www.facebook.com/coquelicot.bio,2,Vente de produits bio,payer des fournisseurs en Stücks,1,
Fiduciaire ADEPT,3 quai Kléber,67000,STRASBOURG,48.5865125,7.741846799999962,fidadept@orange.fr,03 67 17 99 06,www.fiduciaireadept.com,,18,Conseil et optimisation des ressources de l'entreprise,Inciter ses salariés à utiliser la monnaie locale et faire adhérer 3 clients du cabinet à la monnaie locale,,
